party,year,emissions_gt
Belarus,2002,0.0791252757684391
Belarus,2003,0.08087107543309513
Belarus,2004,0.08454580115319921
Belarus,2005,0.08653840302063885
Belarus,2006,0.08985661831697414
Belarus,2007,0.08825097257545199
Belarus,2008,0.09167281971397627
Belarus,2009,0.08971610567659838
Belarus,2010,0.09188426870265985
Belarus,2011,0.09131446779483317
Belarus,2012,0.09243260746039406
Belarus,2013,0.09445641080129472
Belarus,2014,0.09337144420697856
Belarus,2015,0.08830745565719811
Belarus,2016,0.08756330417772168
Belarus,2017,0.08924759587564754
Belarus,2018,0.09220240644637794
Belarus,2019,0.09229163297924688
Belarus,2020,0.08994027706290107
Belarus,2021,0.09198820169097857
Belgium,1990,0.145844473820194
Belgium,1991,0.14857958128529278
Belgium,1992,0.14807774505996787
Belgium,1993,0.1468969331755878
Belgium,1994,0.15144544604443366
Belgium,1995,0.1535798245035352
Belgium,1996,0.1572279539464378
Belgium,1997,0.14882067333679608
Belgium,1998,0.15401288502641328
Belgium,1999,0.1477328211358519
Belgium,2000,0.14887732820150282
Belgium,2001,0.14731907685971318
Belgium,2002,0.14741507177546914
Belgium,2003,0.1477314875344244
Belgium,2004,0.14852392355261657
Belgium,2005,0.14541834637329504
Belgium,2006,0.1427156018393219
Belgium,2007,0.13909079081562592
Belgium,2008,0.13903090695833797
Belgium,2009,0.12643851959281743
Belgium,2010,0.13364429712840556
Belgium,2011,0.12319299131418762
Belgium,2012,0.12044361327065967
Belgium,2013,0.12052371547936211
Belgium,2014,0.11487884670329045
Belgium,2015,0.11899038047983403
Belgium,2016,0.11741956561282563
Belgium,2017,0.11690923634644451
Belgium,2018,0.11758491580492558
Belgium,2019,0.11646371062417114
Belgium,2020,0.10727265406185883
Belgium,2021,0.11095173134654615
Bulgaria,1990,0.0989103375100589
Bulgaria,1991,0.08084321842252985
Bulgaria,1992,0.07532592329870622
Bulgaria,1993,0.07466395075905867
Bulgaria,1994,0.07060526506365121
Bulgaria,1995,0.07216835867276003
Bulgaria,1996,0.07261515365025985
Bulgaria,1997,0.06940156211892277
Bulgaria,1998,0.06535679054359385
Bulgaria,1999,0.05827421187142593
Bulgaria,2000,0.05738745875451909
Bulgaria,2001,0.0602671822271732
Bulgaria,2002,0.05771987905456927
Bulgaria,2003,0.06265886997624506
Bulgaria,2004,0.06176057555349222
Bulgaria,2005,0.06236432037543168
Bulgaria,2006,0.06308840137541151
Bulgaria,2007,0.06700624427635368
Bulgaria,2008,0.06562497530091355
Bulgaria,2009,0.056758596612996745
Bulgaria,2010,0.059383165834319074
Bulgaria,2011,0.06472848351652055
Bulgaria,2012,0.05967571500561144
Bulgaria,2013,0.05445369937162588
Bulgaria,2014,0.0575290228739082
Bulgaria,2015,0.060421395501140625
Bulgaria,2016,0.05777356323431382
Bulgaria,2017,0.05971584067230852
Bulgaria,2018,0.05536184065932889
Bulgaria,2019,0.053942116388778265
Bulgaria,2020,0.04798461534203589
Bulgaria,2021,0.05391726508410001
Canada,1990,0.5886028238444284
Canada,1991,0.5820312216702895
Canada,1992,0.5992426615929295
Canada,1993,0.6017436544355398
Canada,1994,0.6219341289437997
